run_id,run_name,start_time,test_type,offline_accuracy,total_error_rate,false_positive_rate_FPR,false_negative_rate_FNR,offline_accuracy_normal,total_error_rate_normal,offline_accuracy_edge,total_error_rate_edge,adv_robust_rate,adv_error_rate,drift_robust_rate,drift_error_rate,ood_error_rate,ood_wrong_count,noise_robust_accuracy,noise_robust_error_rate,fairness_pass_rate,fairness_error_rate,是否达标,超限详情
45f98008fdf44c16bf00e306325c5cf0,对抗注入_卡顿频繁不推荐,,,,,,,,,,,0.0,1.0,,,,,,,,,不达标,鲁棒平均误判率100.00%>8.00%
3303ab65e5c3478290641a4c3a6a6f67,对抗注入_这款手机性价比很高,,,,,,,,,,,1.0,0.0,,,,,,,,,达标,
cc246fd85d1249589288254d6ca7873f,对抗注入_做工粗糙不好用,,,,,,,,,,,0.0,1.0,,,,,,,,,不达标,鲁棒平均误判率100.00%>8.00%
c0b4f54e6d0b4d2d8261bcc917b07244,对抗注入_画面清晰体验不错,,,,,,,,,,,1.0,0.0,,,,,,,,,达标,
845e61d15bd34d5caa2147145bdd3437,对抗注入_卡顿频繁不推荐,,,,,,,,,,,0.0,1.0,,,,,,,,,不达标,鲁棒平均误判率100.00%>8.00%
5bc9fb825fb646688f04603ddb353359,数据漂移测试_这款手机性价比很高,,,,,,,,,,,,,0.75,0.25,,,,,,,不达标,鲁棒平均误判率25.00%>8.00%
8a38e5e405fd4acfa7f498e5c3fd625f,数据漂移测试_做工粗糙不好用,,,,,,,,,,,,,0.25,0.75,,,,,,,不达标,鲁棒平均误判率75.00%>8.00%
9e6978aa977f4703b7148a676d649462,数据漂移测试_画面清晰体验不错,,,,,,,,,,,,,0.75,0.25,,,,,,,不达标,鲁棒平均误判率25.00%>8.00%
83fd44b3bb64419f852e2137dd584b09,数据漂移测试_卡顿频繁不推荐,,,,,,,,,,,,,0.25,0.75,,,,,,,不达标,鲁棒平均误判率75.00%>8.00%
7b23c406424f4093addd5b5130451dbf,数据漂移测试_这款手机性价比很高,,,,,,,,,,,,,0.75,0.25,,,,,,,不达标,鲁棒平均误判率25.00%>8.00%
cefd1d7c9a3341068c816f919564b249,数据漂移测试_做工粗糙不好用,,,,,,,,,,,,,0.25,0.75,,,,,,,不达标,鲁棒平均误判率75.00%>8.00%
69d5d9152f44402dbe6f921fcc484019,数据漂移测试_画面清晰体验不错,,,,,,,,,,,,,0.75,0.25,,,,,,,不达标,鲁棒平均误判率25.00%>8.00%
83cb6e72f78049378464b73bd5ce88f4,数据漂移测试_卡顿频繁不推荐,,,,,,,,,,,,,0.25,0.75,,,,,,,不达标,鲁棒平均误判率75.00%>8.00%
1d11e935285f432c88e9fd7275bc3b24,公平性测试_这款手机性价比很高,,,,,,,,,,,,,,,,,,,1.0,0.0,达标,
0ab0831740de479994c7c7ec48849806,公平性测试_做工粗糙不好用,,,,,,,,,,,,,,,,,,,0.0,1.0,不达标,公平性通过率0.00%<90.00%; 鲁棒平均误判率100.00%>8.00%
f6f73668e9ca4f31bb9ba9b8dfc23546,公平性测试_画面清晰体验不错,,,,,,,,,,,,,,,,,,,1.0,0.0,达标,
6e03ebccff334e98a926e716ca7c174a,公平性测试_卡顿频繁不推荐,,,,,,,,,,,,,,,,,,,0.0,1.0,不达标,公平性通过率0.00%<90.00%; 鲁棒平均误判率100.00%>8.00%
b7ca93ed7588412c8f88b687e21e00ee,脏输入测试_这款手机性价比很高,,,,,,,,,,,,,,,,,0.7,0.3,,,达标,
03cbcd3af17a4cce83f071c40c1f4557,脏输入测试_做工粗糙不好用,,,,,,,,,,,,,,,,,0.3,0.7,,,达标,
655f8777863b4845960de4466004f733,脏输入测试_画面清晰体验不错,,,,,,,,,,,,,,,,,0.7,0.3,,,达标,
e67f78017a2b4719906c974b13540ec8,脏输入测试_卡顿频繁不推荐,,,,,,,,,,,,,,,,,0.3,0.7,,,达标,
324b1eb76e02473ebe027b2e01915f91,OOD测试_这款手机性价比很高,,,,,,,,,,,,,,,1.0,7.0,,,,,不达标,鲁棒平均误判率100.00%>8.00%
704ac5105edd452e92af404c48d28da1,OOD测试_做工粗糙不好用,,,,,,,,,,,,,,,1.0,7.0,,,,,不达标,鲁棒平均误判率100.00%>8.00%
fa6487a2a78a4db5ba79b3638e74e78f,OOD测试_画面清晰体验不错,,,,,,,,,,,,,,,1.0,7.0,,,,,不达标,鲁棒平均误判率100.00%>8.00%
557c7851a85944228e3feab6005f3aa6,OOD测试_卡顿频繁不推荐,,,,,,,,,,,,,,,1.0,7.0,,,,,不达标,鲁棒平均误判率100.00%>8.00%
d5ce2cf4d20c4f66bb88a1025972f8d3,公平性测试_这款手机性价比很高,,,,,,,,,,,,,,,,,,,1.0,0.0,达标,
522f44c565eb40199cb47f4dbd4c1ff3,公平性测试_做工粗糙不好用,,,,,,,,,,,,,,,,,,,0.0,1.0,不达标,公平性通过率0.00%<90.00%; 鲁棒平均误判率100.00%>8.00%
78c895a5a15b4b4fa1b695a904fb19ff,公平性测试_画面清晰体验不错,,,,,,,,,,,,,,,,,,,1.0,0.0,达标,
6337dd08f3e54b93a09ca9081f9e7cb6,公平性测试_卡顿频繁不推荐,,,,,,,,,,,,,,,,,,,0.0,1.0,不达标,公平性通过率0.00%<90.00%; 鲁棒平均误判率100.00%>8.00%
3b1a8c72c6d2423bb4a89d07f156cba9,公平性测试_这款手机性价比很高,,,,,,,,,,,,,,,,,,,1.0,0.0,达标,
177df684f59546c189eb2a468ab0917c,公平性测试_做工粗糙不好用,,,,,,,,,,,,,,,,,,,0.0,1.0,不达标,公平性通过率0.00%<90.00%; 鲁棒平均误判率100.00%>8.00%
d75caf539528452ab69ff227cf0fd769,公平性测试_画面清晰体验不错,,,,,,,,,,,,,,,,,,,1.0,0.0,达标,
ae6521c26e414e549573795f2ea94f0f,公平性测试_卡顿频繁不推荐,,,,,,,,,,,,,,,,,,,0.0,1.0,不达标,公平性通过率0.00%<90.00%; 鲁棒平均误判率100.00%>8.00%
8a6b873c69094d3ca34818223d1e8e6b,数据集_offline_test_v1.csv_离线指标衰减验收,,,0.3913,0.6087,0.814,0.2692,0.2917,0.7083,0.4444,0.5556,,,,,,,,,,,不达标,离线准确率39.13%<85.00%
c6c2bf6fe2644a5cbc439311e6bccd88,数据集_offline_test_v2.csv_离线指标衰减验收,,,0.3974,0.6026,0.7843,0.2593,0.2857,0.7143,0.5278,0.4722,,,,,,,,,,,不达标,离线准确率39.74%<85.00%
c79bc723833c4ba892f8648d757eeebc,数据集_offline_test_v3.csv_离线指标衰减验收,,,0.4533,0.5467,0.625,0.4074,0.3125,0.6875,0.5581,0.4419,,,,,,,,,,,不达标,离线准确率45.33%<85.00%
